"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"39","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:02:59,FALSE,NA,"968169535172960257",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_danimaals",4927,TRUE,FALSE,NA,NA
"40","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:02:59,FALSE,NA,"968169535080714241",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aj_harrisonjr",4927,TRUE,FALSE,NA,NA
"41","RT @kissmemyfan_: [HQ] 180217 #Wuyifan #KrisWu @ #NBA All-Star Celebrity Game Cr.kriScorpio #KrisWuNBACelebGame
https://t.co/tQAhaub8aU
htt…",FALSE,0,NA,2018-02-26 17:02:55,FALSE,NA,"968169519230345217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UtumwanC",360,TRUE,FALSE,NA,NA
"42","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:02:45,FALSE,NA,"968169477371244544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","boujiebritt__",4927,TRUE,FALSE,NA,NA
"43","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:02:43,FALSE,NA,"968169466726100992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","miathebabes27",4927,TRUE,FALSE,NA,NA
"44","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:02:36,FALSE,NA,"968169439161184260",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vibecalledqvest",4927,TRUE,FALSE,NA,NA
"45","RT @JMKTV: This is going viral on Facebook right now. How is she not signed? Her pitch, the control of her voice and SHE HAS NO MIC! Wow. N…",FALSE,0,NA,2018-02-26 17:02:34,FALSE,NA,"968169430076264454",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","iamlex__",4927,TRUE,FALSE,NA,NA
"46","RT @RNB215: Hall of Famer 16'
NBA MVP 01'
4X NBA scoring champ
11X NBA All-Star
2X NBA All-Star Game MVP
7X All-NBA
3X NBA steals leader
7X…",FALSE,0,NA,2018-02-26 17:02:34,FALSE,NA,"968169428486631424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brionmurphy",644,TRUE,FALSE,NA,NA
"47","RT @kissmemyfan_: [<U+2600><U+FE0F>] 180217 <U+7231><U+5947><U+827A><U+5A31><U+4E50> Weibo : #Wuyifan #KrisWu <U+0E2D><U+0E22><U+0E39><U+0E48><U+0E17><U+0E35><U+0E21><U+0E40><U+0E14><U+0E35><U+0E22><U+0E27><U+0E01><U+0E31><U+0E1A> Justin Bieber <U+0E17><U+0E35><U+0E21> Lakers <U+0E43><U+0E19><U+0E01><U+0E32><U+0E23><U+0E41><U+0E02><U+0E48><U+0E07><U+0E02><U+0E31><U+0E19> #NBA All-Star Celebrity…",FALSE,0,NA,2018-02-26 17:02:24,FALSE,NA,"968169387784994816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","UtumwanC",281,TRUE,FALSE,NA,NA
"48","RT @RNB215: Hall of Famer 16'
NBA MVP 01'
4X NBA scoring champ
11X NBA All-Star
2X NBA All-Star Game MVP
7X All-NBA
3X NBA steals leader
7X…",FALSE,0,NA,2018-02-26 17:02:18,FALSE,NA,"968169360975122432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","steezpro",644,TRUE,FALSE,NA,NA
